Material,Sintering,Structure,er,Qf,f,Tcf,Reference
"BaNd 2Ti 5O14: (20La2O3-60B2O3-20TiO 2)
(60:40 wt%)",850,Tungsten bronze,19.9,8200,,,545
1-xCeO2-xNd 2O3 (x=0.4),1650,Cubic flurite Fm3m,19.9,34100,,-55,365
Ba8Zn(Nb 6-xSb x)O24 (x=1.8),1425,,19.9,18600,,6,447
La0.97 Sm0.03 (Mg0.5 Sn 0.5 )O3,1500,,19.9,70200,,-77,546
(Li 0.5 Sm0.5 )MoO4,640,Tetragonal Scheelite,19.9,4600,,231,421
(Sr 1-xCa x)La2 Al 2O7 x=0.1,1600,R-P I4/mmm,19.9,135400,,-19,547
Ca(Al 1/2 Ta1/2 )O3,,Complex perovskite,20,8500,,-90,548
Ca[(Li 1/3 Nb 2/3 ) 0.95 Ti 0.05]O3-d +5 wt% Bi 2O 3,900,Perovskite,20,6500,,-4,549
La0.9 Nd 0.1 NbO4,1250,Monoclinic fergusonite I2/a,20,45000,,-1,326
Ca(Nd 1/2 Ta1/2 )O3,1500,Perovskite Monoclinic P2 1/n,20,2400,9.7,-16,530
0.95MgTiO 3-0.05CaTiO 3 +0.25 wt% CuO,1275,Composite,20,51000,7,-8,550
Ca(Nd 1/2 Nb 1/2 )O3,1500,Complex perovskite,20,17500,9.6,-33,530
GdTiNbO6,1385,Aschenite Orthorhombic Pbcn,20,9050,7.27,-52,505
"MgO-SiO 2-TiO2 +15 wt% ZnO-B2O3+2.4 wt%
Co 2O3",1160,Composite,20,100000,10,,551
Sm0.3 Y0.7 TiNbO6,1420,Orthorhombic Pbnm,20,19200,,-33,506
LaNbO4,,Monoclinic I2/a,20,15000,,50,254
Li 2.081 Ti 0.676 Nb 0.243 O3,1100,Monoclinic,20,50000,,13,552
CaO-4ZnO-Nb 2O5-TiO2,1125,Composite,20,9000,5.9,-47,206
5NiO-Nb 2O5-TiO2,1125,Composite,20,8200,5.9,-64,206
CaO-4MgO-Ta2 O5-TiO2,1360,Composite,20,50000,5.6,-33,206
5NiO-Ta2O5-TiO2,1300,Composite,20,14000,5.9,-53,206
Sr 3Zn 0.75Mg0.25 Nb 2O9,1300,"Hexagonal, perovskite",20,8500,,-16,553
CaO-4Co 3O4-Ta2O5-TiO2,1210,Composite,20,26000,5.8,-30,206
Ba1-3x/2 La x(Mg1/2 W1/2 )O3 (x=0.02),1450,"Complex perovskite cubic
Fm3m",20,87680,,-1,510
xBa(Mg1/2 W1/2 )O3-(1-x)BaTiO 3 (x=0.92),1500,Perovskite Fm3m,20,37000,,-19,334
0.95MgTiO 3-0.05CaTiO 3,1400,Ilmenite Trigonal R-3,20,56000,,0,554
0.94MgTiO 3-0.06CaTiO 3+0.25 wt% CuO,1275,Ilmenite Trigonal R-3,20,48000,,-3,550
0.75MgAl 2O4-0.25TiO 2,,composite,20,10500,,0,176
Ba(Mg1/3 Ta(2-2x)/3 W x/3 Ti x/3 )O3 (x=0.15),1550,Perovskite Trigonal R-3,20,90000,,0,388
Ba[Ti 1-x(Ni 1/2 W1/2 ) x]O3 (x=0.6),1425,"Perovskite Hexagonal
P6 3/mmc",20,42000,,-10,555
Zn 3Nb 2O8+2 wt% V 2O5+0.5 wt%CuO,800,Monoclinic C2/c,20,36000,11.8,,556
BiSbO4+V 2O5-CuO,930,Monoclinic I2/c,20,40000,,-75,557
La2.98/3 Sr 0.01 (Mg0.5 Sn 0.5 )O3,1550,,20,57100,,-77,558
Ba(Mg1/2 W1/2 )O3,1550,Perovskite Cubic Fm3m,20,120000,,-28,559
Ba(Zn 0.49 W0.5 )O2.995,1360,Perovskite Cubic Fm3m,20,40000,,-35,509
Zn 1.8 Ti 1.1 O4,1090,Cubic Fd3m,20,20200,,-58,398
La2.98/3 Ba0.01 (Mg0.5 Sn 0.5 )O3 +0.25 wt% CuO,1500,,20,50000,,-78,560
"0.5Mg4Nb 2O9-0.5CaTiO 3
+1.7 wt%V 2O5",1150,Composite,20,48000,,-12,561
(Co 0.95 Zn 0.05 )TiO 3,1350,Trigonal R-3,20,107000,9.27,60,562
La2.98/3 Ba0.01 (Mg0.5 Sn 0.5 )O3+0.25 wt% CuO,1500,Not available,20,50100,,-78,560
0.95MgTiO 3-0.05CaTiO 3+1 wt% ZnO,1300,Composite composite,20,65000,7,-6,563
Ba(Mg1/2 W1/2 )O3 +xBa(Y1/3 W1/3 )O3 +x=0.02,1575,"Cubic Fm-3m
Perovskite",20,160000,,-21,564
ZnNb 2O6-0.2CaTiO 3 +4 wt% BaCu(B 2 O5),950,Composite,20,12500,,3,565
"0.95MgTiO 3-0.05CaTiO 3+1 wt% ZnO+0.5 wt%
WO3",1310,,20,62000,7,-5,566
La(MgSn) 0.5 O3,1600,Perovskite Monoclinic P2 1/n,20.1,63000,,-78,567
La(Mg0.43 Ba0.07 Sn 0.5 )O3,1550,Cubic perovskite,20.1,51600,-82,-8,568
(BaxMg1-x)(Sn 0.05 Ti 0.95 )O3 x=0.03,1210,Ilmenite type Trigonal,20.1,100000,,-26,512
0.96Mg0.95 Co 0.05 TiO3-0.04SrTiO 3+1 wt% ZnO,1250,Composite,20.1,74000,,-8,569
NdNbO4+2 wt% CaF 2,1225,Monoclinic fergusonite I2/a,20.1,75000,,-19,570
(1-x)(Mg0.95 Ni 0.05 )TiO 3-xSrTiO 3 x=0.03,1300,Composite,20.1,85000,,-11,498
SrNb 2O6,1300,Columbite Monoclinic P2 1/c,20.1,16900,6.5,,434
Zn 2TiO4,1300,Cubic Fd3m,20.2,19000,,-55,571
(Ca1+xSm1-x)(Al 1-xTi x)O4 x=0.15,1400,"K2NiF 4 type Tetragonal
I4/mmm",20.2,97800,,-0.5,496
Ba3NiNb 2-xSb xO9 (x=0.5),,Cubic Pm3m,20.2,16780,6,-29,340
La1-xBi x(Mg0.5 Sn 0.5 )O3 (x=0.1),,,20.2,58100,,-84,572
La(Mg0.4 Ca0.1 Sn 0.5 )O3,1500,Perovskite,20.2,80500,,-79,573
La(Mg0.4 Ni 0.1 Sn 0.5 )O3,1550,,20.2,74600,,-85,574
La0.97 Yb 0.03 (Mg0.5 Sn 0.5 )O3,,,20.2,56800,,-79,575
MgLi 2/3 Ti 4/3 O4,1125,Cubic Fd-3m,20.2,62300,,-27,576
(1-x)MgTiO 3-xCa0.8 Sr 0.2 TiO3 (x=0.04),,Ilmenite Hexagonal R-3,20.2,97200,,-21,513
0.2Li 2Zn 3Ti 4O12-0.8Li 2TiO3,1240,Composite,20.2,24000,,-11,425
(BaxMg1-x)(Sn 0.05 Ti 0.95 )O3 x=0.05,1210/4h,Ilmenite type trigonal,20.2,84000,,-17,512
(BaxMg1-x)(Sn 0.05 Ti 0.95 )O3 x=0.07,1210/4h,Ilmenite type trigonal,20.3,75000,,-14,512
SrLaGaO 4,1275/3h,Tetragonal I4/mmm,20.3,16200,,-34,577
La2BaZnO5,,Tetragonal I4/mcm,20.3,17800,,-0.9,539578
NdLaBaZnO5,,Orthorhombic,20.3,7900,,-5,539
ZnTiO 3+0.5 wt% V 2O5,900,Hexagonal R-3,20.3,5200,7.8,,531
"90 wt%ZnNb 2O6- TiO2+10wt% (Li 2O-B2O3-
SiO 2)",875,Composite,20.3,8200,,5,23
0.95(Mg.95 Co .05 )TiO 3-0.05CaTiO 3,1275/4h,Ilmenite Hexagonal R-3,20.3,107000,7,-23,375
CeO2:(at 30K),1675,Cubic flurite Fm3m,20.3,600000,5.5,,579
Pr(Ti 1/2 W1/2 )O4,1300,Tetragonal Scheelite,20.3,6900,6.53,-20,356
MnTa2O6,1350,Columbite Orthorhombic Pbcn,20.3,16500,,-44,540
(Li 0.5 Nd 0.5 )MoO4,660,Tetragonal Scheelite,20.3,3000,,235,421
SmAlO 3,1650/2h,Orthorhombic Pbnm,20.4,65000,10,-74,399
MnTiO 3,1350/2h,Hexagonal R-3(148) Ilmenite,20.4,15200,,-56,460
Ba3NiNb 2-xSb xO9 (x=1),,Hxagonal P6 3mc,20.4,43880,6.3,-18,340
CoNb 2O6,1300/4h,Columbite Pbcn,20.5,81000,,-70,434580
(BaxMg1-x)(Sn 0.05 Ti 0.95 )O3 x=0.1,1210/4h,Ilmenite type Trigonal,20.5,37000,,-3,512
Li 2Ti 1-x(Zn 1/3 Nb 2/3 ) xO3 (x=0.2),,Monoclinic C2/c,20.5,75300,,15,581
Sm0.4 Y0.6 TiNbO6,1400,,20.5,15000,,-30,506
Co 1+0.01 Nb 2O6 (sintered in O 2),1400,Columbite Pbcn,20.5,114000,,-60,582
Sr 2La2MgW2O12,1525,Trigonal R-3m,20.5,35000,,-83,583
SrNd 2Al 2O7,,Tetragonal R-P phase,20.5,65500,,-4,482
(Ba0.1 Mg0.9 )(Zr 0.05 Ti 0.95 )O3,1210/4h,Ilmenite type,20.6,25000,,-28,512
ZnLi 2/3 Ti 4/3 O4,900,CubicFd-3m,20.6,106700,,-48,495
"0.5CeO 2-0.5BaTi 4O9+12wt% B 2O3+1wt%
CuO",950/4h,"Cubic flurite Fm3m +
Orthorhombic Pnmm",20.6,17000,5.7,48,584
ErTiTaO6,1560,Euxenite orthorhombic,20.6,85500,,-29,523
(Li 0.5 Ce0.5 )MoO4,580,Tetragonal Scheelite,20.6,2000,,228,421
Ca(La1/2 Nb 1/2 )O3,1500,Perovskite,20.6,38000,9.4,-51,530
MgTiO 3 +5 mol% Bi 2O3-7 mol% V 2O5,875,"Ilmnite Trigonal R-3 +second
phase",20.6,10420,6.3,,585
0.97MgO-0.03BaO-TiO2,1320,Mixture phases,20.6,32600,9.35,,483
(BaxMg1-x)(Zr 0.05 Ti 0.95 )O3 x=0.1,1210/4h,Ilmneite type Trigonal,20.6,25000,,-28,512
ZnTiO 3+0.75 wt% V 2O5,900,Trigonal R-3,20.6,8800,8.2,,531
Nd 2BaZn 0.8 Cu 0.2 O5,,Tetragonal I4/mcm,20.7,11680,,-2,409
Sr 3ZnNb 2O9,1300,"Complex perovskite Cubic
Pm3m",20.7,7500,,-27,553
LaAlO 3 +0.25 wt%CuO,1460,Perovskite Trigonal R-3m,20.7,48000,,-80,586
(Ca1+xSm1-x)(Al 1-xTi x)O4 x=0.2,1500,"K2NiF 4 type Tetragonal
I4/mmm",20.7,99400,,1,496
CeAlO3,1500,Tetragonal P4/mmm,20.7,40110,9.5,-57,587
Ba4Ti 3P 2O15,1200/4h,Monoclinic,20.7,42200,,37,588
Ba2SmSbO 6,1500,Perovskite Cubic Fm3m,20.7,86500,,25,413
Sr 1-3x/2 La x(Mg1/2 W1/2 )O3 (x=0.01),1550/2h,"Complex perovskite
Tetragonal",20.7,60000,,-40,510
"Li 2TiO3 +2 wt% Li 2O-ZnO-B2O3 +35 wt%
LiZnNbO 4",900,Composite,20.7,19300,,0,589
(Zn 0.95 Ni 0.05 ) 3Nb 2O8+4 wt% B 2O3-CuO,930/2h,Monoclinic,20.7,98000,,-85,590
Ba2Mg0.9 Ca0.1 WO6,1500,Perovskite Cubic Fm3m,20.8,120700,,0,390
TeO2,,Tetragonal P4 12 12,20.8,34700,,-101,393
0.964MgTiO 3-0.036SrTiO 3,1270,"Ilmenite Trigonal
+Perovskite",20.8,71000,,-1,591
La2-x/3 Na x(Mg1/2 W1/2 )O3 (x=0.5),1450,Perovskite Orthorhombic I222,20.8,5700,,-47,592
Nd 2BaZn 0.7 Cu 0.3 O5,,Tetragonal I4/mcm,20.8,19793,,-3,409
0.96Mg(Zr 0.05 Ti 0.95 )O3-0.04SrTiO 3,,Composite,20.8,257000,,0,593
(Zn 0.95 Co 0.05 )Nb 2O8+4 wt% B 2O3 -CuO,930,Composite,20.8,105000,,-84,594
0.94(Mg0.95 Co 0.05 )TiO 3-0.06CaTiO 3,1275/4h,Composite,20.9,102000,7,-10,375
Ca(Sm1/2 Nb 1/2 )O3,1500,Perovskite,20.9,24500,9.4,-28,530
0.95MgO-0.05BaO-TiO2,1320,Composite,20.9,32500,9.06,,483
0.96MgTiO 3-0.04SrTiO 3,1300/4h,Composite,20.9,135000,9,0,595
Zn 1.01 Nb 2O6,1300/4h,Columbite Pbcn,20.9,120000,,-74,580
MnNb 2O6,1150,Columbite,20.9,12900,6.8,-74,499
Li 2.081 Ti 0.676Nb 0.243 O3+1.5 wt% B 2O3,880,Monoclinic,20.9,34100,,8,552
0.95Mg(Zr 0.05 Ti 0.95 )O3-0.05SrTiO 3,1390,Composite,20.9,203000,6.8,2,596
CoLi 2/3 Ti 4/3 O4+1.5 wt% BaCu(B 2 O5),900,Cubic spinel Fd-3m,20.9,27800,,-24,597
(1-x)Li 3Bi 2P 3O12-xTiO 2 (x=0.50),750,Monoclinic P2 1/m,20.9,14000,,-25,403
(1-x)(Mg0.95 Ni 0.05 )TiO 3-xSrTiO 3 x=0.04,1300/4h,Composite,20.1,73000,,1,498
Mg1.03 Nb 2O6,1400/4h,Columbite Pcan,21,121000,,-60,580
0.964MgTiO 3-0.036SrTiO 3,1270,Composite,21,71000,,-1,591
BaTe2 O6,650,Orthorhombic Cmcm,21,50300,,-51,252
Ca(Mg1/3 Ta2/3 )O3,,Complex perovskite,21,78000,,-61,548
Zn 3Nb 2O8,1150/2h,Monoclinic C2/c,21,83300,,-71,394571
0.95MgTiO 3-0.05CaTiO 3,1450,Composite,21,56000,7,0,550
5NiO-Nb 2O5-TiO2,1125,Mixture,21,8200,5.08,-64,206
TbTiNbO6,1385,"Aschenite Orthorhombic
Pbcn",21,15700,7.58,-45,505
5ZnO-2Nb 2O5,1220,Mixed phases,21,88000,6.98,-73,295
Sm0.6 Y0.4 TiNbO6,1400,Euxenite orthorhombic Pbnm,21,11500,,-4,506
Ca5Ta2ZrO 12,1700,Perovskite,21,23800,5.38,-27,598
ZnTiO 3,925,Trigonal R-3,21,30000,,-90,599
Ca[(Li 0.33 Nb 0.67 ) 0.9 Ti 0.1] O3- +20 wt% LiF,840,Composite,21,20400,,-18,600
Ba0.95 (Zn 1/2W1/2 )O2.95,1250,Cubic perovskite Fm3m,21,25000,,-40,509
NiNb 2O6,1200,Columbite Pbcn,21,19300,6.5,-71,499
Mg0.95 Ca0.05 TiO3 + 0.2 mol% Bi 2O3,1250,Ilmenite Trigonal R-3,21,55600,7,-12,601
0.96(Mg0.95 Ni 0.05 )TiO 3-0.04SrTiO 3,1300,Ilmenite Trigonal R-3,21,73000,,1,602
SrLa4Si 3O13 +8 wt% TiO 2,1225,Composite,21,13000,,-10,228
0.54BaWO 4-0.46Ba5Nb 4O15,1100,Composite,21,49500,,9,430
Mg1+0.01 Nb 2O6,1400,Columbite Pcan,21,121000,10,-60,582
0.6Mg4Nb 2O9-0.4SrTiO 3,1300,Composite,21,112000,9.7,2,603
x(Mg0.96 Co 0.04 )TiO 3-(1-x)SrTiO 3 (x=0.94),1360,Composite,21,97000,,2,604
Nd(Mg0.5 Sn 0.4 Ti 0.1 )O3,1550,Perovskite,21.1,50000,,-60,605
(Sr 1-xCa x)Nd 2Al 2O7x=0.5,,Ruddlesden-Popper solid soln,21.1,68200,,0,606
ZnNb 2O6+5 wt% B 2O3-ZnO-SiO 2,900,Orthorhombic Pbcn,21.1,23100,,,607
Ba[Ti 1-x(Zn 1/2 W1/2 ) x]O3 (x=0.6),1420,"Hexagonal P6 3 /mmc
Perovskite",21.2,26800,,-3,608
Mg0.95 Ca0.05 TiO3+2 wt% B 2O3,1200,Ilmenite Trigonal R-3,21.2,62000,8,4,554
Ca(Yb 1/2 Ta1/2 )O3,1500,Perovskite,21.2,24000,9.6,-38,530
SmZrTaO6,1650,,21.2,24190,,-58,609
CaTa2 O6,1600,Cubic Pm3m,21.2,11600,,1,540
Sr(Co 1/2 W1/2 )O3,1450,Perovskite cubic Fm3m,21.2,14000,7.72,-73,472
Li 2Zn(Ti 0.9 Sn 0.1 ) 3O8+1.5 wt% 0.4B 2O3-0.6CuO,875,Cubic spinel,21.2,12000,,-20,610
"Ca1-3xBi 2xAx)MoO4 (x=0.15, A= A site
vacancy)",700,Tetragonal Scheelite,21.2,29300,,-1,611
Ca[Li 0.33 Nb 0.67] 0.9 Ti 0.1]O3- +20 wt% LiF,840,Perovskite,21.3,20450,4.59,-18,600
ZnTiO3+1 wt% V 2O5,900,Trigonal R-3,21.3,8000,8.8,,531
Nd(Ti 1/2 W1/2 )O4,1285,Tetragonal Scheelite I4 1/a,21.3,10600,5.5,-22,356
0.98CeO 2-0.02CaTiO 3 +0.25 wt%B 2O3,1380,Fluorite cubic Fm3m,21.3,60000,8,-41,612
0.34BaMoO 4-0.66TiO 2,1300,Composite,21.3,20700,,119,205
(1-x)MgTiO 3-xCa0.8 Sr 0.2 TiO3 (x=0.06),,Ilmenite Trigonal R-3,21.4,83700,,-2,513
PbWO4,620,Tetragonal,21.4,43000,7,-7,414
CaHfO3,1750,"Orthorhombic perovskite
Pnma",21.4,15950,8.9,-33,613
Li 2TiO3 +5 wt% Li 2O-MgO-B2 O3,850,Monoclinic C2/c,21.4,64100,,27,614
"(Rb,Bi) 1/2 MoO4",550,Scheelite monoclinic P2 1/c,21.4,6200,7.5,-30,615
CoLi 2/3 Ti 4/3 O4,1050,Cubic spnel Fd-3m,21.4,35000,,-22,597
0.5CeO 2-0.25MgO-0.25TiO 2: 1 WO 3,1400,Mixture phases,21.4,90000,5.57,-50,433
SrNdGaO4,1300,Tetragonal I4/mmm,21.4,16600,,7.1,577
0.9ZnNb 2O6-0.1(ZnO-V 2O5),950,Columbite Pbcn,21.4,29500,,,616
MgNb 2O6,1300,Columbite Orthorhombic Pcan,21.4,93800,,-70,540
MgTiO 3-CaTiO 3 (MMT-20),1360,Composite,21.4,26000,7,,161
Sm(Ti 1/2 W1/2 )O4,1300,Tetragonal Scheelite,21.5,7100,5.5,-14,356
BaO-0.32MgO-0.26WO 3-0.42TiO 2,1500,Composite,21.5,49000,,1,361
MgNb 2O6+0.25 wt% B 2O3,1260,"Columbite Orthorhombic
Pcan",21.5,115800,,-48,617
5Li 2O-0.583Nb 2O5-3.248TiO 2 +1 wt% V 2O5,920,M phase,21.5,32950,,6.1,618
"85 wt% Ba5Nb 4O15+15 wt% Li 2O-B2O 3-SiO 2-
CaO-Al 2O3",875,Composite,21.5,3400,,-15,532
NdAlO 3 +0.25 wt%V 2O5,1410,Perovskite Trigonal R-3m,21.5,64000,9,-30,619
ZnNb 2O6,1200,Columbite Orthorhombic Pbcn,21.5,84500,6.3,-75,499
Ba3MgSb 2O9,,"Perovskite Hexagonal
P6 3/mmc",21.5,23020,5.1,-6,340
MgNb 2O6+2 wt% CuO-B2O3,1050,"Columbite Orthorhombic
Pcan",21.5,108000,,-44,620
Zn 3Nb 2O8,1150,Monoclinic C2/c,21.6,83300,,-71,571
PbWO4,850,Scheelite Tetragonal I4 1/a,21.6,34500,,-22,44
0.93(Mg0.95 Co 0.05 )TiO 3-0.07CaTiO 3,1275,Ilmnite Trigonal R-3,21.6,92000,7,-2,84
Ba[Ti 1-x(Ni 1/2 W1/2 ) x]O3 (x=0.55),1425,Perovskite,21.6,38400,,-8,555
0.93(Mg0.95 Co 0.05 )TiO 3-0.07Ca0.8Sr 0.2 TiO 3,1275,Composite,21.6,98900,,1,621
SrSm2 Al 2O7,,Tetragonal R-P phase,21.6,64700,,4,482
Mg0.95 Ca0.05 TiO3 + 0.5 mol%Bi 2O3,1250,Ilmenite Trigonal R-3,21.7,52400,7,-29,601
1-x(Mg0.95 Ni 0.05 )TiO 3-x(Ca0.8 Sr 0.2)TiO 3,1275,Composite,21.7,94000,,5,622
1-xCeO2-xEr 2O3 (x=0.15),1650,Cubic Flurite Fm3m,21.7,23000,,-40,365
SrNb 2O6,1300,Columbite Monoclinic P2 1/c,21.7,16900,6.51,,499
(1-x)CeO2-xEr 2O3 (x=0.7),1650,Cubic flurite Fm3m,21.7,23000,,-40,365
CeO2+1 wt% CuO,1580,Cubic flurite Fm3m,21.7,50000,9,-59,623
"0.9Mg0.95 Co 0.05 TiO3-
0.1Ca0.6 La0.8/3 TiO3+0.25wt% V 2O5",1250,Composite,21.7,58000,2,-10,624
"MgO-TiO2-ZnO-CaO+ 10 wt% Li 2O3 -B2O3-
SiO 2",900,Composite,21.7,50000,,-22,625
0.56Ba(Mg1/2 W1/2 )O3- -0.44BaTiO 3,1500,Composite,21.8,13000,,44,334
0.9(Mg0.95 Co 0.05 )TiO 3-0.1Ca0.6 La0.8/3 TiO3,1350,Composite,21.8,131000,7,-16,626
(Ca1+xSm1-x)(Al 1-xTi x)O4 x=0.3,1500,"K2NiF 4 
I4/mmm Tetragonal",21.8,83100,,10,496
99 wt% BiSbO 4+1 wt% CaTiO 3,1100,Monoclinic I2/c,21.8,61150,,-40,627
0.94MgTiO 3-0.06Ca0.8 Sr 0.2 TiO3,1300,Composite,21.9,128000,,-68,628
Mg0.95 Ca0.05 TiO3 + 1 mol% Bi 2O3,1250,Ilmenite Trigonal R-3,21.9,41100,7,0,601
90 wt% CaZrO 3+10 wt% Li 2O-B2 O3-SiO 2,875,Composite,21.9,4700,,-39,532
Li 3NbO4-0.15CaTiO 3,,Composite,21.9,24900,,-58,629
(Na0.5 Bi 0.5 ) 0.6 Ca0.4MoO4,750,Tetragonal scheelite,21.9,20660,,8,309
Ca(Ca1/3 Ta2/3 )O3,,Perovskite,22,22000,,6,548
Li 2.081 Ti 0.676 Nb 0.243 O3+0.5 wt% B 2O3,880,M phase,22,32000,,-41,630
Sr(Ca1/3 Ta2/3 )O3,,"Complex perovskite Trigonal
P-3m1",22,27300,7,10,631
Ca(Ni1/3 Ta2/3 )O3,,Complex perovskite,22,21000,,-91,548
CrNbO4,1300,Tetragonal P4 2/mmm,22,4000,4,-80,48
(Zn 0.7Mg0.3 )TiO 3,950,Trigonal R-3,22,65000,,-80,599
Sr(Mg1/3 Ta2/3 )O3,,"Complex perovskite
Hexagonal",22,5600,7,-50,631
Y(Mg1/2 Ti 1/2 )O3,1650,Perovskite Cubic Fd3m,22,33700,10,-46,632
NdGaO3,,"Perovskite Orthorhombic
Pbnm",22,85000,,,633
Sr 4AlNbO8,1525,,22,3700,10.25,,504
(Zn 0.3 Co 0.7 )TiO 3,1150,Trigonal R-3,22,80000,,-60,634
DyTiNbO6,1385,Aschenite Orthorhombic Pbcn,22,19100,7.76,-42,505
YbTiNbO6,1400,Aschenite Orthorhombic Pbcn,22,11000,7.4,-63,505
Sm0.71 Y0.29 TiNbO6,1400,Orthorhombic Pbnm,22,1400,,-2,506
Ba(Mn 1/3 Ta2/3 )O3,1600,Perovskite Trigonal P-3m1,32,58200,11.4,34,635
Ca5Nb 2HfO12,1700,Perovskite,22,16000,5.4,-29,435
0.5CeO 2-0.25ZnO-0.25TiO 2:4 Co3O4,1250,Mixed phases,22,32100,5.5,-48,435
CeO2-0.5CoO-0.5TiO 2,1200,Mixed phases,22,50000,,-47,433
CoNb 2O6,1150,Columbite Orthorhombic Pbcn,22,41700,6.7,-66,434540
Zn 0.5 Mg0.5 Nb 2O6,1150,Columbite Pbcn,22,33100,,-29,636
Ca1-xBi xW1-xVxO4 (x=0.3),950,Tetragonal Scheelite (I4 1/a),22,16700,,2,637
"(1-x)(Mg0.95 Zn 0.05 )TiO 3-xCa0.6 La0.8/3 TiO3
(x=0.1)",1320,Composite,22,94000,,-20,411
5Li 2O-0.58Nb 2O5-3.23TiO 2+0.5 wt% B 2O 3,900,M phase,22,32000,,10,638
(1-x)(Mg0.95 Ni 0.05 )TiO 3-xCa0.6 La0.8/3 TiO3 x=0.1,1325,Composite,22,118000,,-25,639
Li 2TiO3,,Monoclinic rocksalt C2/c,22,63500,,20,640
Li 2TiO3 +20 vol% Li 2Zn 3Ti 4O12,900,Composite,22,28400,,-2,641
NdAlO 3,,Perovskite Trigonal R-3m,22,58000,,-35,642
ZnNb 2O6+10 wt% V 2O5,900,Columbite Orthorhombic Pnca,22.1,10300,,-83,643644
La2-x/3 Na x(Mg1/2 W1/2 )O3 (x=0.4),1450,Perovskite Composite,22.1,5500,,-45,592
YTiTaO6,1625,Euxenite orthorhombic,22.1,51400,,-20,523
0.6(Al 1/2 Ta1/2 )O2-0.4(Mg1/2 Ta2/3 )O2,1450,Orthorhombic Pbcn,22.1,90930,,-16,193
0.92(Mg0.95 Co 0.05 )TiO 3-0.08CaTiO 3,1275,Composite,22.1,86400,7,5.4,375
Nd 2BaCuO5,,Tetragonal I4/mcm,22.1,4910,,4.6,409
Nd 2Ba(Zn 1-xCu x)O5 (x=0.15),,Tetragonal I4/mcm,22.1,7700,2,,409
ZnNb 2O6 +5 wt% CuO,925,Columbite Orthorhombic Pbcn,22.1,59500,,-65,427
Ba(Yb 1/2 Ta1/2 )O3,1700,Perovskite Cubic Fm3m,22.1,14000,6.7,89,530
Sm2Ba0.95 Sr 0.05 ZnO5,,Orthorhombic,22.1,10000,,30,491
Li 2TiO3,,Monoclinic rocksalt C2/c,22.1,63500,,20,645
Bi[Sb 1-x(Nb 0.992V 0.008 ) x]O4 (x=0.05),,Monoclinic I2/c,22.1,41000,,-54,646
Ca1-xBi xW1-xV xO4 (x=0.3),950,,22.1,16700,,2,637
(1-x)Li 3Bi 2P 3O12-xTiO 2 (x=0.55),725,Monocklinic P2 1/m,22.1,14900,,-3,403
La3 Ti 5 Al 15O37,1420,monoclinic Cc,22.1,57100,,19,402
ZnTiO 3+5 wt% B 2O3-SiO 2,850,composite,22.2,52460,6,,647
Mg0.93 Ca0.07 TiO3,1350,IlmeniteTrigonal R-3,22.2,68550,,6,648
Gd(Ti 1/2 W1/2 )O4,1375,Tetragonal Scheelite,22.2,5000,5.5,-16,356
Mg0.95 Ca0.05 TiO3 + 5 mol%Bi 2O3,1250,Ilmenite Trigonal R-3,22.3,22500,7,-110,601
NdAlO 3,1650,Perovskite Trigonal R-3m,22.3,58000,10,-33,399
Sr 3Zn 0.5Mg0.5 Nb 2O9,1300,"Trigonal, complex perovskite
P-3m1",22.3,8200,,4,553
Nd 2BaZn 095Cu 0.05 O5,1250,Tetragonal I4/mcm,22.4,6340,,2,409
NdAlO 3+0.25 wt% CuO,1420,Trigonal R-3m,22.4,63000,10,-35,649
MnNb 2O6,1150,Columbite orthorhombic Pbcn,22.4,34300,,-60,540
0.5CeO 2-0.25MgO-0.25TiO 2,1400,Mixture phases,22.4,17500,5.5,-62,433
Zn 3Nb 2O8+2 mol% V 2O5,925,Monoclinic C2/c,22.4,67500,,,643
CeO2+10 wt% Bi 2O3-B2O3-ZnO-SiO 2,950,Cubic flurite Fm3m,22.4,12000,4.5,-57,357
LaLuO3,1525,Orthorhombic Pnma,22.4,14400,,-7.5,650
(1-y)Li 2.02 Ti 0.92 Nb 0.06 O3 (y=0.2),1070,M phase,22.5,13600,,14,651
0.91(Mg0.7 Zn 0.03 )TiO 3-0.09CaTiO 3,1310,Ilmenite trigonal R-3,22.5,86000,7.5,3,652
Zn 1+0.005 Nb 2O6,1300,Pbcn Columbite,22.5,122000,70,-75,582
ZnO-B2O3-P 2O5-TeO2 glass,,Glass,22.5,1500,7,-100,289
"0.95(Mg0.7Zn 0.3 ) 0.95 Co 0.05 TiO3-
0.05Ca0.8 Sr 0.2 TiO3",1150,Composite,22.5,90000,9,0,653
0.9(Mg0.95 Co 0.05 )TiO 3-0.1Ca0.8 Sm0.4/3 TiO 3,1275,Composite,22.5,108000,8,-8,654
0.75ZnNb 2O6-0.25TiO 2,1200,"Columbite -Orthorhombic
Pnca",22.5,15000,,-15,487
0.91(Mg0.7Zn 0.3 )TiO 3-0.09CaTiO 3,1310,Composite,22.5,86000,7.5,3,655
La5/3 MgTaO6,1500,Perovskite,22.5,5000,7.2,-80,656
NiNb 2O6,1150,"Columbite
Pbcn Orthorhombic",22.6,40100,,-38,657
Nd 2BaZnO5,,Tetragonal I4/mcm,22.6,12451,8.9,4.6,658
