Material,Sintering,Structure,er,Qf,f,Tcf,Reference
Y2BaCu 0.6 Mg0.4 O5,,Orthorhombic Pmmm,7.4,25320,12.9,-56,51113
CaAl 2Si 2O8(Anorthite),1500,Triclinic P-1,7.4,12000,,-130,25
MgAl 2O4 +Li-Mg-Zn-B-Si-O glass,1000,Glass-ceramic,7.4,48000,24,-90,114
Mg2Si 0.9 Ti 0.1 O4 Fosterite,1425,Orthorhombic Pbnm,7.4,73760,15,-60,115
ZrSiO 4,1550,Tetragonal I4 1,7.4,8500,5.15,-2,116
19ZnO-13La2O3-68B2O3 +40 wt% Al 2O3,,Composite,7.4,18100,,,117
xMgO-(1-x)B 2O3(x=0.8),1350,Composite,7.4,247880,,-65,86
CaMgSi 2O6,1300,Monoclinic C2/c,7.4,59700,,-42,118
Sr 2-xCa xAl 2SiO 7 (x=0.5),1450,Tetragonal P4-2 1m,7.4,25000,,-33,101
Alpha CaSiO 3+6 wt% SiO 2,1350,,7.4,33700,,-11,83
Mg2.15 SnO4,1620,Spinel cubic Fd3m,7.4,76800,,-50,119
BaCu(B 2O5),850,,7.4,23000,,-75,120
CaO-B2O3-SiO 2 (42:45:13),,Composite,7.5,2400,6.24,,63
20ZnO-16La2O3-64B2O3+50 wt% Al 2O3,950,Composite,7.5,13500,,-10,89
BaAl 2 Ge2O8,1350,Monoclinic I2/c,7.5,74100,,-32,85
SrSiO 3-NiO,1375,Monoclinic C2,7.5,56500,,64,121
HfSiO 4+2 wt% LMZBS,1400,Tetragonal I4 1/amd,7.5,7500,5,,122
CaO-B2O3-SiO 2 (42:45:13) glass,,Glass,7.5,2380,6.2,,63
"DyBO3,HoBO3,YBO3",,Vaterite Hexagonal P6 3/mmc,7.5,10000,,,123
-Zn 2P 2O7,1150,Throtveitit Monoclinic C2/m,7.5,50000,,-204,42
Mg2.05 SiO 4 Fosterite,1550,Orthorhombic Pbnm,7.5,114700,10.6,-59,66
Ba2ZnSi 2O7,1350,Monoclinic,7.5,48000,,-74,100
K2Mo 2O7,460,Triclinic,7.5,22300,,-63,29
ZnO:B 2O3:SiO 2 (60:20:20) glass,799,Glass,7.5,1410,15.4,-84,81
ZnO:B 2O3 (60:40) glass,799,Glass,7.5,1430,15.1,-3,81
ZnO:B 2O3:SiO 2 (60:30:10) glass,799,Glass,7.6,1440,15.5,-21,81
CaZnP 2O7,900,Pyrophosphate,7.6,63130,,-82,124
20CaO-20La2O3-60B2O3+40 wt% Al 2O3,850,Composite,7.6,5000,17.4,,125
BaO-B2O3-SiO 2 (42:45:13) glass,,Glass,7.6,4100,6.65,,63
BaGa2Si 2O8,1350,Monoclinic I2/c,7.6,62300,,-32,85
24ZnO-16La2O3-60B2O3+50 wt% Al 2O3,950,Glass,7.6,17600,16.9,-14,89
CaMgSi 2O6,1300,Monoclinic C12/c1,7.6,121380,,-66,126
Zn 2SiO 4+8 mol% Bi 2O3,885,Trigonal R-3,7.6,12600,,-22,127
BaO-B2O3-SiO 2 (42:45:13),,Glass,7.6,4000,6.65,,63
xMgO-(1-x)B 2O3(x=0.9),1350,Orthorhombic Pnmn,7.7,376800,,-58,86
Y2BaCu 0.9 Mg.0.1 O5 CIP,1250,Orthorhombic Pbnm,7.7,37500,14.5,-37,113
CaMg0.9 Zn 0.1 Si 2O6+0.6 wt% LiF,900,Monoclinic C12/c1,7.7,70000,,-25,128
"0.91Mg2SiO 4-0.09CaTiO 3+12
Li 2CO3-H3BO3 wt%  Bi 2O3-",950,Fosterite composite,7.7,11300,6.1,-5,129
Li 2Mg2(WO4) 3,875,Orthorhombic Pnma,7.7,29600,6,-16,130
α-Ca2P 2O7,1290,Monoclinic P2 1/n,7.8,14100,,-97,131
Li 2CaSiO 4+3 wt% PBS,900,Tetragonal I-42m,7.8,2700,,,12
Mg3Sm4 Al 44O75 +B2O3-SiO 2-Al 2 O3,920,Mgnetoplumbite,7.8,10000,,11,132
DyPO 4,1600,Xenotime tetragonal I4 1/amd,7.8,28700,,-17,133
TbPO4,1600,Xenotime tetragonal I4 1/amd,7.8,20100,,-18,133
27ZnO-16La2O3-57B2O3 +50 wt% Al 2O3,950,Composite,7.8,22700,16.8,-19,89
45CaO-31.7B 2O3-23.3SiO 2,715,Composite,7.8,1130,12.5,,4
27ZnO-16La2O3-57B2O3 glass+50 wt% Al 2O3,,Composite,7.8,1350,16.8,,89
xMgO-(1-x)B 2O3(x=0.85),1350,Composite,7.8,307600,,-58,86
Li xZn 2-xV xSi 1-xO4 (x=0.8),820,,7.8,21100,11.5,,135
CaMg0.9 Zn 0.1 Si 2O6+5 wt% MgF 2,1050,,7.8,169800,11.7,-26,136
Yb 2BaCuO5,,Orthorhombic Pnma,7.9,7290,,-44,137
LiMgPO 4 +0.05 vfTiO 2,950,Orthorhombic Pmnb,7.9,63600,,-36,58
