Material,er,Qf,f,Tcf,Single_Crystal_1,er1,Qf1,f1,Tcf1,Single_Crystal_2,er2,Qf2,f2,Tcf2,V1,V2,W1,W2,Ref
0.8Ba2BiV3O11-0.2TiO2,15.1,55800,8.57,-37,Ba2BiV3O11,14.2,68700,8.7,-81,TiO2,115,46000,,450,0.8,0.2,,,373
0.6Ba2BiV3O11-0.4TiO2,16.2,45800,8.57,36,Ba2BiV3O11,14.2,68700,8.7,-81,TiO2,115,46000,,450,0.6,0.4,,,373
0.5BaMoO4-0.5TiO2,16.5,25200,,46,BaMoO4,9,37100,,-90,TiO2,115,46000,,450,0.5,0.5,,,
1-xCeO2-xSm2O3(x=0.25),16.8,29650,,-56,Sm2O3,23,46000,,22,CeO2,23,65000,,-55,0.25,0.75,,,
0.35Ba5Nb4O15-0.65BaWO4,16.9,56700,,-4,BaWO4,8.1,56000,,-55,Ba5Nb4O15,40,53000,,78,0.65,0.35,,,430
0.59Ba5Nb4O15-0.41BaWO4,24.8,44100,,15,BaWO4,8.1,56000,,-55,Ba5Nb4O15,40,53000,,78,0.41,0.59,,,430
0.74CaWO4-0.26TiO2,17.5,27000,,0.41,CaWO4,8.7,52000,,-54,TiO2,115,46000,,450,0.74,0.26,,,450
0.9CaWO4-0.1TiO2,13.1,42000,,-10,CaWO4,8.7,52000,,-54,TiO2,115,46000,,450,0.9,0.1,,,450
0.8CaWO4-0.2TiO2,16.8,29000,,-4,CaWO4,8.7,52000,,-54,TiO2,115,46000,,450,0.8,0.2,,,450
0.7CaWO4-0.3TiO2,20.1,22400,,51,CaWO4,8.7,52000,,-54,TiO2,115,46000,,450,0.7,0.3,,,450
0.6CaWO4-0.4TiO2,23.4,21000,,87,CaWO4,8.7,52000,,-54,TiO2,115,46000,,450,0.6,0.4,,,450
0.5CaWO4-0.5TiO2,39.9,18500,,147,CaWO4,8.7,52000,,-54,TiO2,115,46000,,450,0.5,0.5,,,450
0.2CaWO4-0.8TiO2,64.4,12000,,308,CaWO4,8.7,52000,,-54,TiO2,115,46000,,450,0.2,0.8,,,450
0CaWO4-1TiO2,115,46000,,450,CaWO4,8.7,52000,,-54,TiO2,115,46000,,450,0,1,,,450
1CaWO4-0TiO2,8.7,52000,,-54,CaWO4,8.7,52000,,-54,TiO2,115,46000,,450,1,0,,,450
0.93(Mg0.97Zn0.03)(Ti0.95Sn0.05)O4-0.07CaTiO3,18.3,94700,,-4,(Mg0.97Zn0.03)(Ti0.95Sn0.05)O4,14.6,183500,,-44,CaTiO3,162,1290,1.5,859,0.93,0.07,,,
80%wt MgNb2O6- 20%wt CaTiO3,18.4,73700,,-45,MgNb2O6,18.42,79600,,-72,CaTiO3,162,1290,1.5,859,0.64,0.36,,,487
93% MgNb2O6/7% CaTiO3,19.95,78600,,-52.8,MgNb2O6,18.42,79600,,-72,CaTiO3,162,1290,1.5,859,0.855,0.145,,,487
93% MgNb2O6/7% TiO2,22.56,47400,,-48.8,MgNb2O6,18.42,79600,,-72,TiO2,115,46000,,450,0.776,0.224,,,487
90% MgNb2O6/10% TiO2,25.36,19000,,-23.1,MgNb2O6,18.42,79600,,-72,TiO2,115,46000,,450,0.7,0.3,,,487
87% MgNb2O6/13% TiO2,37.97,21800,,80,MgNb2O6,18.42,79600,,-72,TiO2,115,46000,,450,0.636,0.364,,,487
(1-x)CeO2-xSm2O3(x=0.85),18.5,44700,,-55,Sm2O3,23,46000,,22,CeO2,23,65000,,-55,0.85,0.15,,,
(1-x)Li3Bi2P3O12-xTiO2(x=0.45),18.9,13700,,-43,Li3Bi2P3O12,15.8,26600,,-130,TiO2,115,46000,,450,0.55,0.45,,,
Zn2Te3O8+4wt%TiO2,19.3,27000,5.14,-9,Zn2Te3O8,16.2,66000,4.9,-60,TiO2,115,46000,,450,0.756,0.244,,,
94% wt CaNb2O6- 6% wt CaTiO3,19.5,69500,,-65,CaNb2O6,17.3,49600,6.9,-53,CaTiO3,162,1290,1.5,859,0.869,0.131,,,487
92% CaNb2O6/8% CaTiO3,30.14,10800,,39.7,CaNb2O6,17.3,49600,6.9,-53,CaTiO3,162,1290,1.5,859,0.83,0.17,,,487
90% CaNb2O6/10% CaTiO3,33.9,17600,,72.7,CaNb2O6,17.3,49600,6.9,-53,CaTiO3,162,1290,1.5,859,0.79,0.21,,,487
89% CaNb2O6/11% TiO2,23.09,6700,,-11.3,CaNb2O6,17.3,49600,6.9,-53,TiO2,115,46000,,450,0.6675,0.3325,,,487
88% CaNb2O6/12% TiO2,22.32,3600,,5.2,CaNb2O6,17.3,49600,6.9,-53,TiO2,115,46000,,450,0.645,0.355,,,487
85% CaNb2O6/15% TiO2,24.66,2100,,36.7,CaNb2O6,17.3,49600,6.9,-53,TiO2,115,46000,,450,0.584,0.416,,,487
0.95MgTiO3-0.05CaTiO3,21,56000,7,0,MgTiO3,16.1,289400,,-54,CaTiO3,162,1290,1.5,859,0.95,0.05,,,
NdNbO4+2wt%CaF2,20.1,75000,,-19,CaF2,6.8,92000,8.1,-137.85,NdNbO4,19.6,33000,,-24,0.07,0.93,,,
0.964MgTiO3-0.036SrTiO3,20.8,71000,,-1,MgTiO3,16.1,289400,,-54,SrTiO3,270,3000,2,1500,0.964,0.036,,,
1MgTiO3-0SrTiO3,16.1,289400,,-54,MgTiO3,16.1,289400,,-54,SrTiO3,270,3000,2,1500,1,0,,,
0.96Mg(Zr0.05Ti0.95)O3-0.04SrTiO3,20.8,257000,,0,Mg(Zr0.05Ti0.95)O3,18.1,380000,,-50,SrTiO3,270,3000,2,1500,0.96,0.04,,,
1Mg(Zr0.05Ti0.95)O3-1SrTiO3,18.1,380000,,-50,Mg(Zr0.05Ti0.95)O3,18.1,380000,,-50,SrTiO3,270,3000,2,1500,1,0,,,
0.94(Mg0.95Co0.05)TiO3-0.06CaTiO3,20.9,102000,7,-10,(Mg0.95Co0.05)TiO3,16.8,230000,10,-54,CaTiO3,162,1290,1.5,859,0.94,0.06,,,
0.96MgTiO3-0.04SrTiO3,20.9,135000,9,0,MgTiO3,16.1,289400,,-54,SrTiO3,270,3000,2,1500,0.96,0.04,,,
0.95Mg(Zr0.05Ti0.95)O3-0.05SrTiO3,20.9,203000,6.8,2,Mg(Zr0.05Ti0.95)O3,18.1,380000,,-50,SrTiO3,270,3000,2,1500,0.95,0.05,,,
CoLi2/3Ti4/3O4+1.5wt%BaCu(B2O5),20.9,27800,,-24,BaCu(B2O5),7.3,50000,,-32,CoLi2/3Ti4/3O4,21.4,35000,,-22,,,,,
(1-x)Li3Bi2P3O12-xTiO2(x=0.50),20.9,14000,,-25,Li3Bi2P3O12,15.8,26600,,-130,TiO2,115,46000,,450,0.5,0.5,,,
SrLa4Si3O13+8wt%TiO2,21,13000,,-10,SrLa4Si3O13,14.2,26300,,-46,TiO2,115,46000,,450,,,,,
0.54BaWO4-0.46Ba5Nb4O15,21,49500,,9,BaWO4,8.1,56000,,-55,Ba5Nb4O15,40,53000,,78,0.54,0.46,,,
0.6Mg4Nb2O9-0.4SrTiO3,21,112000,9.7,2,Mg4Nb2O9,8.5,50000,,,SrTiO3,270,3000,2,1500,0.6,0.4,,,
0.34BaMoO4-0.66TiO2,21.3,20700,,119,BaMoO4,9,37100,,-90,TiO2,115,46000,,450,0.34,0.66,,,
0.94MgTiO3-0.06CaTiO3(MMT-20),21.4,26000,7,,MgTiO3,16.1,289400,,-54,CaTiO3,162,1290,1.5,859,0.94,0.06,,,
0.93(Mg0.95Co0.05)TiO3-0.07CaTiO3,21.6,92000,7,-2,(Mg0.95Co0.05)TiO3,16.8,230000,10,-54,CaTiO3,162,1290,1.5,859,0.93,0.07,,,
99wt%BiSbO4+1wt%CaTiO3,21.8,61150,,-40,BiSbO4,19.3,70000,,-62,CaTiO3,162,1290,1.5,859,0.9715,0.0285,,,
Li3NbO4-0.15CaTiO3,21.9,24900,,5.6,Li3NbO4,15.8,55000,,-49,CaTiO3,162,1290,1.5,859,0.85,0.15,,,
0.92(Mg0.95Co0.05)TiO3-0.08CaTiO3,22.1,86400,7,5.4,(Mg0.95Co0.05)TiO3,16.8,230000,10,-54,CaTiO3,162,1290,1.5,859,0.92,0.08,,,
(1-x)Li3Bi2P3O12-xTiO2(x=0.55),22.1,14900,,-3,Li3Bi2P3O12,15.8,26600,,-130,TiO2,115,46000,,450,0.45,0.55,,,
0.75ZnNb2O6-0.25CaTiO3,22.5,15000,,-15,ZnNb2O6,21.5,84500,6.3,-75,CaTiO3,162,1290,1.5,859,0.75,0.25,,,
70% ZnNb2O6/30% TiO2,52,26500,,110.3,ZnNb2O6,21.5,84500,6.3,-75,TiO2,115,46000,,450,0.36,0.64,,,487
85% ZnNb2O6/15% TiO2,29.82,46000,,-69.6,ZnNb2O6,21.5,84500,6.3,-75,TiO2,115,46000,,450,0.566,0.434,,,487
95% CoNb2O6/5% TiO2,27.51,20100,,-10.6,CoNb2O6,20.46,41700,,-66.6,TiO2,115,46000,,450,0.816,0.184,,,487
0.95MgLi2/3Ti4/3O4-0.05CaTiO3,22.6,48000,,-2,MgLi2/3Ti4/3O4,20.2,62300,,-27,CaTiO3,162,1290,1.5,859,0.95,0.05,,,
0.93(Mg0.95Zn0.05)TiO3-0.07CaTiO3,22.6,93000,10,-3,(Mg0.95Zn0.05)TiO3,16,210000,,-60,CaTiO3,162,1290,1.5,859,0.93,0.07,,,
0.45TiO2-0.55CeTe2O6,22.8,8300,,25,CeTe2O6,15.2,45400,,-68,TiO2,115,46000,,450,0.55,0.45,,,
